ignore,publish,id,track,chords,key,album,artists,composer,language,loop_start,loop_end,title,channel,upload_date,uploader,baritone,id_related
0,0,TLZsczvWzhs,Lokada Kalaji - Ukulele Cover,,,With Chords,,,Hindi,0.0,84.0,Lokada Kalaji - Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200823,One String by Priyanka Ravindran,0.0,
0,0,m6Z-6LHEf7I,Love You Zindagi - Hindi Ukulele Lesson,,,Ukeguide,,,Hindi,0.0,760.0,Love You Zindagi - Hindi Ukulele Lesson | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200507,ukeguide,0.0,
0,0,ZCs84xl6I08,Love You Zindagi ~ Jasleen Royal ~,,,~,Hindi Uke Lesson,,Hindi,0.0,790.0,Love you zindagi ~ Jasleen Royal ~ Ukulele Tutorial ~ Easy hindi uke lesson,UC8LY9RfQk75FaLSqV2b8aKg,20200511,heyitzola,0.0,
0,0,7aWW2-vNXzA,Lukka Chuppi  - Hindi,,,Rang De Basanti,,,Hindi,0.0,376.0,LUKKA CHUPPI (Rang De Basanti) - Hindi Ukulele Tutorial | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20180329,ukeguide,0.0,
0,0,HYCtGCgFHYU,Lukka Chuppi-Ukulele Cover,,,With Chords,,,Hindi,0.0,170.0,Lukka Chuppi-Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20201008,One String by Priyanka Ravindran,0.0,
0,0,1cLd8G_7340,Lut Gaye -,,,& Cover,,,Hindi,0.0,112.0,Lut Gaye - Easy Ukulele Tutorial & Cover,UCTxnAa2uGE2lk1CSfL8Amjw,20210321,the chashmish,0.0,
0,0,-zgV1b7I_uo,Maa,,,Taare Zameen Par,,"Shankar, Ehsaan, Loy",Hindi,0.0,334.0,Maa | Shankar Mahadevan | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20190514,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,a59DNnlN_k8,Maa - James,,,,,,Bengali,0.0,386.0,Maa - James Ukulele Tutorial for Beginners,UC6PY2h7NZP_fGKFpIIGmwwg,20190518,Nabid Alam,0.0,
0,0,5rbtGnMgMWI,Maana Ke Hum Yaar Nahin - Ukulele Cover,,,With Chords,,,Hindi,0.0,103.0,Maana Ke Hum Yaar Nahin - Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200831,One String by Priyanka Ravindran,0.0,
0,0,L8Ufl2017KA,Madhu Pole-Ukelele Cover,,,With Chords,,,Hindi,0.0,115.0,Madhu Pole-Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200616,One String by Priyanka Ravindran,0.0,
0,0,yYz3Qx9dzmU,Maeri,,,Euphoria,,,Hindi,0.0,626.0,Maeri | Euphoria | Intermediate Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20210226,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,UaAnEwnpRe4,Main Hoon Na Tere Saath,,,Saina,Armaan Malik,Amaal Mallik,Hindi,0.0,383.0,Main Hoon Na Tere Saath | Armaan Malik | Only 3 Chords | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20210319,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,Ea4cPcRxdXA,Main Hun Saath Tere,,,Shaadi Mein Zaroor Aana,Arijit Singh,Kaushik-Akash-Guddu,Hindi,0.0,132.0,Main Hun Saath Tere | Arijit Singh | Easy Ukulele Tutorial(HINDI),UCXNmFZc8m5w0tQbpMs6rGyA,20171111,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,ujfPX5g6V_A,Main Jut Yamla Pagla -,,,Urdu/Hindi.,,,Hindi,0.0,332.0,main jut yamla pagla - ukulele tutorial urdu/hindi.,UCCHSNlm8UTsY_8sUoEAH5sA,20201114,Hassan Khan,0.0,
0,0,Te-kRLzrEcU,Main Koi Aisa Geet Gaoon-Ukulele Cover,,,With Chords,,,Hindi,0.0,108.0,Main Koi Aisa Geet Gaoon-Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200920,One String by Priyanka Ravindran,0.0,
0,0,9Llz0YKO6xY,Main Koi Aisa Geet Gaun,"C,F,G,D",,,,,Hindi,0.0,693.0,Main koi aisa geet gaun Ukulele Tutorial for beginners | Sayali Tank,UCJjV2CHB58Xerdqbwyka7QA,20200122,Sayali Tank,0.0,
0,0,B-PR_haYw_w,Main Phir Bhi Tumko Chahunga,,,Aashiqui 2,Arijit Singh,Mithoon,Hindi,0.0,205.0,Main Phir Bhi Tumko Chahunga | Arijit Singh | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20171113,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,AaCbJslYadQ,Main Rahu Ya Na Rahu,"G,A,D,Am,Em,C",,,,,Hindi,0.0,1066.0,Main rahu ya na rahu Ukulele Tutorial,UCJjV2CHB58Xerdqbwyka7QA,20200408,Sayali Tank,0.0,
0,0,cXJemNGHwkA,Main Shaayar Toh Nahin - Ukelele Cover,,,With Chords,,,Hindi,0.0,116.0,Main Shaayar Toh Nahin - Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200430,One String by Priyanka Ravindran,0.0,
0,0,xRxWepzVVCA,Main Tenu Samjhawan,,,Very,Tarun Mishra,,Hindi,0.0,372.0,Main Tenu Samjhawan | Very Easy Ukulele Tutorial | Tarun Mishra,UCOrDZAyo1Hga3PRMC2GFlgw,20180715,Tarun Mishra,0.0,
0,0,_kDzE1Uek2s,Main Tumhara,,,Dil Bechara,,,Hindi,0.0,568.0,Main Tumhara | Dil Bechara | Ukulele Tutorial,UCOrDZAyo1Hga3PRMC2GFlgw,20200811,Tarun Mishra,0.0,"_kDzE1Uek2s,x3F3ub93y1A"
0,0,x3F3ub93y1A,Main Tumhara,,,Dil Bechara,"Jonita Gandhi, Hriday Gattani",A R Rahman,Hindi,0.0,275.0,Main Tumhara | Dil Bechara | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20200809,BollyUke - Bollywood Ukulele Tutorials,0.0,"_kDzE1Uek2s,x3F3ub93y1A"
0,0,Brlfg-oUeN0,Main Tumhara - Hindi,,,Dil Bechara,Hriday Gattani,Ar Rahman,Hindi,0.0,361.0,MAIN TUMHARA - Hindi UKULELE Tutorial | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200806,ukeguide,0.0,
0,0,wkOoj8EwKQ8,Main Tumhara-,,,,,,Hindi,0.0,99.0,Main Tumhara-Ukulele Tutorial,UCTxnAa2uGE2lk1CSfL8Amjw,20200813,the chashmish,0.0,
0,0,_2f0b1P5L1c,Makhna,,,Drive,"Asees Kaur, Tanishk Bagchi, Yasser Desai",,Hindi,0.0,255.0,"Makhna Ukulele Tutorial | Drive | Sushant Singh Rajput, Jacqueline Fernandez | Shivanaay",UCMsX4epw3cck3D3Jy0oy_zg,20200918,Shivanaay,0.0,
0,0,lWrgJZE1DRU,Makhna -,,,,,,Hindi,0.0,413.0,Makhna - Ukulele Tutorial,UC8JGJmLrRlz5Kf9GguiCq6g,20201112,One String by Priyanka Ravindran,0.0,
0,0,0XAEdcF_MJ4,Malai Neram Tamil Ukulele Cover/ Ukulele Chords/Tutorial,Gm Eb F Bb,,,,,Tamil,0.0,31.0,Malai Neram Tamil ukulele cover/ ukulele chords/tutorial,UCseOAfsBqBoSPH37WzPhIMA,20191129,Magivizhi,0.0,
0,0,B6jZe7xFujE,Malargale Malargale/Manasuna Manasuna-Ukulele Cover,,,With Chords,,,Hindi,0.0,139.0,Malargale Malargale/Manasuna Manasuna-Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20201224,One String by Priyanka Ravindran,0.0,
0,0,e5yxX2RFdV0,Maley Maley - Ukulele Cover,,,With Chords,,,Hindi,0.0,152.0,Maley Maley - Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200921,One String by Priyanka Ravindran,0.0,
0,0,0ZxGnhvpTHk,Mangal Bhawan Amangal Haari ~ Ramayana Title Song ~ Ukuleletutorial ~,,,Hindi Uke Lesson,,,Hindi,0.0,612.0,Mangal Bhawan Amangal Haari ~ Ramayana Title Song ~ UkuleleTutorial ~ Easy hindi uke lesson,UC8LY9RfQk75FaLSqV2b8aKg,20200506,heyitzola,0.0,
0,0,mlkm2MMqzuA,Manjha -,,,,,,Hindi,0.0,189.0,Manjha - Ukulele Tutorial,UCTxnAa2uGE2lk1CSfL8Amjw,20200802,the chashmish,0.0,
0,0,uImXiPk4j-o,Mann Ki Titliyaan-Ukelele Cover,,,With Chords,,,Hindi,0.0,149.0,Mann Ki Titliyaan-Ukelele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200726,One String by Priyanka Ravindran,0.0,
0,0,eU77Nr8i3yE,Mann Mera -,,,& Cover,Table No.21,,Hindi,0.0,155.0,Mann Mera - Easy Ukulele Tutorial & Cover |Table no.21|,UCTxnAa2uGE2lk1CSfL8Amjw,20201016,the chashmish,0.0,
0,0,s-Fx1TjGCuc,Maula,,,Vasu Dixit) - Ukulele Cover (With Chords,,,Hindi,0.0,215.0,Maula (Vasu Dixit) - Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20200830,One String by Priyanka Ravindran,0.0,
0,0,TuaS-u1kKAQ,Mazhai Varum Arikuri,,,Veppam,Arathi Unnikrishnan,,Tamil,0.0,258.0,MAZHAI VARUM ARIKURI | Tamil Ukulele Tutorial | ARATHI UNNIKRISHNAN,UCpaXVJBBAK6AA_DBi43c54A,20210118,Arathi Unnikrishnan,0.0,
0,0,wS61PPQtD2c,Memba For Aisha - Ukulele Cover,,,With Chords,,,Hindi,0.0,319.0,Memba For Aisha - Ukulele Cover (with chords),UC8JGJmLrRlz5Kf9GguiCq6g,20201130,One String by Priyanka Ravindran,0.0,
0,0,282M7cs1-Dg,Mera Mann Kehne Laga,"G,C,Em,D",,,,,Hindi,0.0,1267.0,Mera Mann Kehne Laga Playalong Ukulele Tutorial | Sayali Tank,UCJjV2CHB58Xerdqbwyka7QA,20191204,Sayali Tank,0.0,
0,0,OqMFDui1pGU,Mera Sohneya,,,Kabir Singh,Baritone Ukulele Lesson,,Hindi,0.0,334.0,MERA SOHNEYA | KABIR SINGH | BARITONE UKULELE LESSON,UCpxZQKj_Gwldx5vOYnRHIIw,20200710,Ukulele Adda,1.0,
0,0,pBzD9bCkTd0,Mere Liye Tum Kaafi Ho - Hindi Ukulele Lesson,,,Ukeguide,,,Hindi,0.0,553.0,Mere Liye Tum Kaafi Ho - Hindi Ukulele Lesson | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20200423,ukeguide,0.0,
0,0,AgDWShHmsv4,Mere Naam Tu,,,Zero,Abhay Jodhpurkar,Ajay-Atul,Hindi,0.0,323.0,Mere Naam Tu | Zero | Shahrukh Khan | Easy Ukulele Tutorial(HINDI),UCXNmFZc8m5w0tQbpMs6rGyA,20181216,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,YMDtel7r134,Mere Rashke Qamar,,,Badshaho,"Nusrat, Rahat Fateh Ali Khan",Tanishk Bagchi,Hindi,0.0,142.0,Mere Rashke Qamar | Nusrat & Rahat Fateh Ali Khan | Easy Ukulele Tutorial,UCXNmFZc8m5w0tQbpMs6rGyA,20171122,BollyUke - Bollywood Ukulele Tutorials,0.0,
0,0,uihHnt9itzo,Mere Samne Wali Khidki  - Hindi,,,Padosan,Kishore Kumar,,Hindi,0.0,298.0,Mere Samne Wali Khidki ( Kishore Kumar ) - Hindi Ukulele Tutorial | ukeguide,UCtYAlKT4ZHsP37o8d7gIjkQ,20171209,ukeguide,0.0,
